시도별,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
시도별,엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,41635,2354131,25837,1859705,24203,7388,1788227,9877,5073,501052,4897,5454,267093,4980,4698,233959,10968,9664,1059925,3358,6767,227250,1633,4376,71478,5189,70844,2667,1092,29136,2522,1653,41708,3629,95582,713,1773,12644,2916,2844,82938,6980,4702,328198
서울특별시,17,643,4,365,3,10295,359,0,3906,1,0,4704,1,0,0,0,3,10343,358,0,0,0,0,3963,6,7,205,0,2235,2,7,3000,203,7,69,1,2800,22,6,775,47,0,4612,4
부산광역시,266,10323,47,5209,45,11439,5133,5,5395,243,5,5385,243,0,0,0,40,12114,4890,0,0,0,2,4320,76,20,282,18,1388,256,2,1681,26,175,4098,37,1788,665,138,2484,3433,24,3556,838
대구광역시,576,22720,255,12127,66,8978,5970,22,4453,996,22,4453,996,0,0,0,44,11271,4974,0,0,0,189,3258,6157,93,2079,14,1508,205,79,2371,1874,47,1132,22,2173,472,26,2561,660,181,4081,7382
인천광역시,181,15355,124,14110,118,11690,13801,6,3206,200,6,3200,200,0,0,0,112,12163,13601,0,0,0,6,5250,309,14,205,11,1065,121,3,2686,84,41,961,22,1737,388,19,3079,573,2,4612,79
광주광역시,113,7146,83,5832,49,9258,4525,8,4096,335,8,4093,335,0,0,0,41,10295,4190,0,0,0,35,3784,1307,8,120,4,971,37,4,2060,83,4,88,3,2084,55,1,3132,33,18,6023,1106
대전광역시,86,4566,37,3529,36,9705,3522,0,1864,5,0,1796,5,0,0,0,36,9764,3517,0,0,0,0,2698,7,1,19,1,1324,12,0,1479,7,48,1017,12,952,118,36,2513,899,0,2738,1
울산광역시,113,7167,79,6639,71,8857,6325,13,4997,650,13,5000,650,0,0,0,58,9717,5675,0,0,0,8,3906,314,10,116,7,1110,83,2,1474,33,22,378,14,1720,249,8,1617,129,1,2506,34
세종특별자치시,78,4491,52,3988,38,10184,3909,1,4055,44,1,4053,44,0,0,0,37,10362,3865,0,0,0,14,568,79,12,201,0,0,0,12,1700,201,13,270,0,0,0,13,2075,270,1,2738,32
경기도,4323,205665,2067,154900,1430,9070,129654,215,4704,10103,215,4704,10103,0,0,0,1215,9842,119551,0,0,0,637,3963,25246,1389,24196,126,1929,2425,1264,1723,21771,794,23336,173,2030,3513,621,3192,19823,73,4612,3376
강원도,8228,439149,6491,367755,6475,5671,367215,5286,4788,253104,689,5002,34473,4597,4756,218631,1189,9600,114111,0,0,0,16,3368,540,103,1604,44,1577,701,58,1550,903,133,1792,106,1046,1109,27,2496,683,1501,4530,67998
충청북도,2894,175894,2149,152795,2114,7171,151574,719,4555,32762,719,4555,32762,0,0,0,1394,8520,118812,0,0,0,35,3499,1221,239,3684,14,1392,200,225,1548,3484,263,9169,7,1340,87,256,3544,9082,243,4189,10197
충청남도,2774,146611,1342,116590,1109,9453,104831,190,6492,12318,190,6492,12318,0,0,0,919,10064,92513,0,0,0,233,5054,11759,434,7129,34,1324,446,400,1670,6683,649,13323,71,1674,1191,578,2100,12132,349,2738,9569
전라북도,2644,161097,1504,127090,1411,8633,121799,325,5325,17311,269,5833,15677,56,2900,1634,1086,9624,104488,0,0,0,93,5660,5291,188,1614,60,997,601,128,792,1013,864,27659,35,2575,912,828,3230,26747,88,5357,4734
전라남도,10017,712371,7339,583811,7163,7997,572835,1190,6638,79004,1190,6638,79004,0,0,0,2666,10130,270034,3307,6767,223797,176,6239,10976,639,8038,578,1230,7112,61,1526,926,65,1624,30,2727,826,34,2314,798,1974,6023,118898
경상북도,4242,260292,3247,233688,3096,7335,227072,1436,5028,72188,1109,5274,58494,327,4193,13694,1660,9329,154884,0,0,0,151,4392,6616,360,5022,176,1241,2180,184,1545,2842,258,4710,108,1610,1740,150,1977,2970,377,4471,16872
경상남도,2741,82640,764,58397,738,7762,57246,271,4729,12799,271,4729,12799,0,0,0,467,9520,44447,0,0,0,27,4320,1151,1636,15873,1547,929,14368,90,1681,1505,226,5489,63,1861,1177,162,2657,4312,115,2506,2881
제주도,2340,98000,253,12879,241,5170,12456,190,4737,8989,190,4737,8989,0,0,0,0,10130,14,51,6767,3453,12,3395,423,36,457,32,1201,387,4,1664,70,20,467,8,1493,120,12,2915,347,2031,4146,84197
