시도별,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
시도별,근채류:면적 (ha),생산량 (톤),무:면적 (ha),생산량 (톤),노지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을일반무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을총각무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울무:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설무:면적 (ha),10a당 생산량 (kg),생산량 (톤),당근:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,21572,1178197,19503,1110874,18953,5734,1086683,7728,3772,291506,5383,3878,208787,2345,3528,82719,5344,7575,404804,4462,8076,360347,881,5043,44456,5881,6638,390373,550,4398,24191,2069,3254,67327
서울특별시,3,346,3,345,3,11918,318,0,5780,1,0,3856,1,0,0,0,3,11958,317,2,13778,287,1,5232,30,0,0,0,1,4006,27,0,3023,1
부산광역시,43,3081,38,2948,35,7951,2812,5,3844,211,5,3847,211,0,0,0,30,8706,2601,30,8706,2601,0,0,0,0,0,0,3,4400,136,5,2764,137
대구광역시,88,4474,88,4474,88,5081,4467,58,4304,2497,58,4303,2497,0,0,0,30,6591,1970,29,6692,1935,1,3561,34,0,0,0,0,3260,7,0,0,0
인천광역시,102,10212,100,10147,99,10212,10112,8,3860,325,8,3856,325,0,0,0,91,10802,9787,81,11304,9165,10,6531,622,0,0,0,1,4006,35,2,3023,65
광주광역시,112,7967,112,7962,93,7397,6856,13,3502,441,13,3500,441,0,0,0,80,8009,6415,80,8016,6409,0,4106,6,0,0,0,19,5755,1106,0,1193,5
대전광역시,24,1424,24,1422,24,5856,1412,6,3076,183,6,3083,183,0,0,0,18,6767,1229,17,6856,1165,1,5458,64,0,0,0,0,4504,10,0,2890,2
울산광역시,70,3253,68,3191,54,4943,2670,26,1482,389,26,1482,389,0,0,0,28,8213,2281,28,8213,2281,0,0,0,0,0,0,14,3600,521,1,4130,62
세종특별자치시,51,3042,49,2994,28,7215,2022,1,3411,32,1,3460,32,0,0,0,27,7347,1990,25,7486,1888,2,5458,101,0,0,0,21,4664,972,3,1910,48
경기도,2265,132560,2231,131524,2169,5950,129062,945,3856,36441,945,3856,36441,0,0,0,1224,7566,92621,815,8737,71225,409,5232,21396,0,0,0,61,4006,2462,34,3023,1036
강원도,3355,129464,3062,121547,3046,3976,121111,2584,3524,91059,400,3718,14886,2183,3489,76173,463,6495,30052,403,6750,27179,60,4782,2873,0,0,0,16,2788,436,293,2706,7917
충청북도,884,41640,771,40726,765,5259,40216,544,4916,26755,544,4916,26755,0,0,0,220,6107,13461,201,6352,12772,19,3561,689,0,0,0,7,7551,510,112,815,914
충청남도,1395,78030,1363,77413,1345,5694,76606,539,2827,15239,539,2827,15239,0,0,0,806,7610,61367,577,8463,48871,229,5458,12496,0,0,0,17,4664,807,32,1910,617
전라북도,1788,120554,1765,119978,1678,6880,115452,672,5331,35804,561,5392,30266,110,5023,5538,1006,7914,79648,999,7941,79359,7,4106,289,0,0,0,87,5194,4526,23,2463,576
전라남도,1629,98816,1579,97629,1358,6480,87977,561,4440,24924,561,4440,24924,0,0,0,796,7918,63053,656,8733,57298,140,4106,5755,0,0,0,221,4365,9652,50,2355,1187
경상북도,1657,55827,1485,52460,1452,3526,51184,1229,3047,37432,1177,3094,36424,51,1961,1008,223,6166,13752,221,6187,13687,2,3561,65,0,0,0,34,3800,1276,171,1964,3367
경상남도,1312,64899,690,39233,643,5837,37539,345,3847,13277,345,3847,13277,0,0,0,298,8141,24262,297,8153,24226,1,4106,36,0,0,0,47,3600,1694,621,4130,25666
제주도,6793,422610,6073,396883,6073,6535,396869,192,3383,6496,192,3383,6496,0,0,0,0,0,0,0,0,0,0,0,0,5881,6638,390373,0,4365,14,720,3575,25727
