"시도별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"시도별",조미채소:면적 (ha),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),생강:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",95708,2072280,39392,273271,34514,283,97697,4878,3599,175574,14912,399798,13123,2697,353955,1789,2562,45843,9655,2769,267343,8401,2793,234636,1254,2608,32707,5257,2520,132455,4722,2527,119319,535,2455,13136,18015,6072,1093932,2751,1418,39007,20638,1290,266272
"서울특별시",28,109,24,62,24,257,62,0,0,0,1,20,1,2000,20,0,0,0,1,2000,20,1,2000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,904,27
"부산광역시",757,19455,67,386,61,259,158,6,3803,228,650,17707,645,2737,17652,5,1100,55,554,2782,15412,554,2782,15412,0,0,0,96,2391,2295,91,2461,2240,5,1109,55,17,6584,1119,2,1195,24,21,1042,219
"대구광역시",390,6773,142,1025,109,238,259,33,2321,766,42,1218,36,3022,1088,6,2167,130,37,3049,1128,33,3155,1041,4,2172,87,5,1800,90,3,1558,47,2,2151,43,63,4328,2727,0,0,0,143,1261,1803
"인천광역시",1017,9389,610,1520,606,226,1371,4,3730,149,276,6364,192,2155,4138,84,2650,2226,234,2291,5361,162,2099,3400,72,2723,1961,42,2388,1003,30,2459,738,12,2211,265,25,2833,708,1,1385,14,105,745,783
"광주광역시",538,18213,409,11645,84,205,172,325,3530,11473,2,56,2,2800,56,0,0,0,2,2800,56,2,2806,56,0,0,0,0,0,0,0,0,0,0,0,0,93,6603,6140,1,1280,13,33,1087,359
"대전광역시",118,724,84,303,78,216,169,6,2226,134,9,144,9,1600,144,0,0,0,7,1686,118,7,1690,118,0,0,0,2,1300,26,2,1280,26,0,0,0,1,5707,57,1,938,9,23,917,211
"울산광역시",261,3278,160,507,157,278,437,3,2346,70,15,259,15,1727,259,0,0,0,11,1509,166,11,1508,166,0,0,0,4,2325,93,4,2323,93,0,0,0,36,5167,1860,0,0,0,50,1303,652
"경기도",5954,85980,3007,15955,2635,257,6767,372,2470,9188,2068,55141,1610,2712,43666,458,2505,11475,1707,2684,45811,1297,2726,35356,410,2550,10455,361,2584,9330,313,2655,8310,48,2125,1020,177,4628,8192,46,1385,637,656,923,6054
"강원도",5062,63715,3677,33982,2780,252,7009,897,3007,26973,1029,25453,1014,2480,25144,15,2060,309,993,2498,24810,988,2500,24700,5,2200,110,36,1786,643,26,1706,444,10,1994,199,46,4025,1852,3,1473,44,307,777,2385
"충청북도",4672,36770,3260,10039,3168,263,8335,92,1852,1704,719,17910,365,2350,8576,354,2637,9334,633,2513,15910,308,2380,7330,325,2640,8580,86,2326,2000,57,2186,1246,29,2600,754,117,3467,4057,37,1307,484,539,794,4280
"충청남도",9083,127861,4186,28402,3623,316,11433,563,3014,16969,1372,33618,939,2386,22407,433,2589,11211,282,2514,7089,200,2465,4930,82,2633,2159,1090,2434,26529,739,2365,17477,351,2579,9052,430,5707,24539,946,1465,13859,2149,1277,27443
"전라북도",7798,136325,4507,20357,4324,310,13421,183,3790,6936,1013,29950,856,3095,26494,157,2201,3456,747,3260,24350,641,3437,22031,106,2188,2319,266,2105,5600,215,2076,4463,51,2230,1137,1352,5563,75208,325,1216,3952,601,1141,6858
"전라남도",27278,815304,6891,39700,6194,283,17535,697,3180,22165,5608,163995,5592,2925,163576,16,2619,419,3287,2950,96957,3277,2950,96672,10,2850,285,2321,2888,67038,2315,2890,66904,6,2230,134,9171,5923,543208,183,1280,2342,5425,1218,66059
"경상북도",16319,251474,8583,28771,8387,289,24214,196,2325,4557,1097,25236,971,2277,22105,126,2485,3131,745,2470,18402,638,2462,15708,107,2518,2694,352,1941,6834,333,1921,6397,19,2299,437,2080,6463,134423,1157,1473,17043,3402,1352,46001
"경상남도",13055,412241,3722,80088,2234,279,6239,1488,4963,73849,461,11712,327,2334,7633,134,3044,4079,369,2693,9936,236,2491,5879,133,3050,4057,92,1930,1776,91,1927,1754,1,2210,22,3766,6581,247845,49,1195,586,5057,1424,72010
"제주도",3378,84670,63,529,50,232,116,13,3180,413,550,11015,549,2003,10997,1,1800,18,46,3950,1817,46,3950,1817,0,0,0,504,1825,9198,503,1825,9180,1,1843,18,641,6552,41997,0,0,0,2124,1466,31129
