시도별,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
시도별,근채류:면적 (ha),생산량 (톤),무:면적 (ha),생산량 (톤),노지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을일반무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을총각무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울무:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설무:면적 (ha),10a당 생산량 (kg),생산량 (톤),당근:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,23427,1380286,21030,1296970,19936,6284,1252812,8483,4029,341814,5875,4478,263054,2608,3020,78760,5498,8771,482238,4977,9173,456520,521,4936,25718,5955,7200,428760,1094,4036,44158,2397,3476,83316
서울특별시,11,696,11,696,7,8286,580,0,0,0,0,0,0,0,0,0,7,8292,580,5,9496,475,2,5282,106,0,0,0,4,2888,116,0,0,0
부산광역시,108,2765,15,904,14,6207,869,6,1633,98,6,1626,98,0,0,0,8,9643,771,8,9643,771,0,0,0,0,0,0,1,3503,35,93,2001,1861
대구광역시,117,5881,117,5881,37,7705,2851,1,4800,48,1,4810,48,0,0,0,36,7786,2803,36,7786,2803,0,0,0,0,0,0,80,3788,3030,0,0,0
인천광역시,112,9927,109,9855,106,9215,9768,8,4925,394,8,4920,394,0,0,0,98,9565,9374,89,9951,8856,9,5749,517,0,0,0,3,2888,87,3,2390,72
광주광역시,139,10133,139,10133,103,8020,8261,21,3471,729,21,3473,729,0,0,0,82,9185,7532,82,9185,7532,0,0,0,0,0,0,36,5200,1872,0,0,0
대전광역시,27,1712,27,1712,21,7067,1484,3,3400,102,3,3407,102,0,0,0,18,7677,1382,13,8715,1133,5,4978,249,0,0,0,6,3804,228,0,0,0
울산광역시,74,5102,74,5102,70,7087,4961,7,2757,193,7,2759,193,0,0,0,63,7569,4768,63,7569,4768,0,0,0,0,0,0,4,3527,141,0,0,0
경기도,2362,152550,2327,151713,2224,6688,148738,1211,4920,59581,1211,4920,59581,0,0,0,1013,8801,89157,846,9496,80336,167,5282,8821,0,0,0,103,2888,2975,35,2390,837
강원도,3398,118595,3316,116073,3303,3504,115721,2962,3076,91097,484,3493,16906,2478,2994,74191,341,7221,24624,303,7612,23065,38,4103,1559,0,0,0,13,2711,352,82,3075,2522
충청북도,771,36828,743,35762,722,4845,34978,573,4352,24937,573,4352,24937,0,0,0,149,6739,10041,110,7490,8239,39,4620,1802,0,0,0,21,3733,784,28,3806,1066
충청남도,2025,135673,1985,134445,1912,6807,130158,927,4867,45117,927,4867,45117,0,0,0,985,8634,85041,812,9413,76430,173,4978,8611,0,0,0,73,5872,4287,40,3071,1228
전라북도,2130,178865,2122,178683,1966,8678,170608,735,6432,47274,672,6620,44486,63,4425,2788,1231,10019,123334,1214,10094,122543,17,4656,791,0,0,0,156,5176,8075,8,2280,182
전라남도,1814,110844,1753,109218,1389,6864,95335,574,4562,26186,574,4562,26186,0,0,0,815,8485,69149,752,8805,66216,63,4656,2933,0,0,0,364,3814,13883,61,2665,1626
경상북도,1981,78168,1612,69249,1422,4372,62166,1089,3450,37571,1022,3502,35790,67,2658,1781,333,7386,24595,325,7467,24267,8,4103,328,0,0,0,190,3728,7083,369,2417,8919
경상남도,731,30958,483,23441,443,5018,22231,208,1626,3382,208,1626,3382,0,0,0,235,8021,18849,235,8021,18849,0,0,0,0,0,0,40,3025,1210,248,3031,7517
제주도,7627,501588,6197,444102,6197,7166,444102,158,3231,5105,158,3231,5105,0,0,0,84,12187,10237,84,12187,10237,0,0,0,5955,7200,428760,0,0,0,1430,4020,57486
