INQ_YMD,PDLT_CODE,PDLT_NM,NMYR_RATE,BFRT_RATE,SPCS_CODE,WHSL_DAIL_PRCE,RTSL_DAIL_PRCE
일자,품목코드,품목명,평년 비율,전일 비율,품종코드,도매일일가격,소매일일가격
19960113,1209,마늘,0,0,12A9,0,2933
19960113,1209,마늘,0,0,1209,1132.1,0
19960113,1201,양파,0,0,1201,410,589
19960113,1202,대파,0,0,1202,550,1158
19960114,1001,배추,0,0,1001,0,1521
19960114,1101,무,0,0,1101,0,963
19960114,1207,건고추,0,0,1207,5185.71,6167
19960114,1209,마늘,0,0,12A9,0,2933
19960114,1209,마늘,0,0,1209,1132.1,0
19960114,1201,양파,0,0,1201,410,589
19960114,1202,대파,0,0,1202,550,1158
19960115,1001,배추,0,0,1001,0,1525
19960115,1101,무,0,0,1101,0,967
19960115,1207,건고추,0,0,1207,5185.71,6167
19960115,1209,마늘,0,0,12A9,0,2933
19960116,1001,배추,0,0,1001,0,1517
19960116,1101,무,0,0,1101,0,971
19960116,1207,건고추,0,0,1207,5185.71,6167
19960116,1209,마늘,0,0,12A9,0,2925
19960116,1209,마늘,0,-0.631,1209,1125,0
19960116,1201,양파,0,7.865,1201,445,607
19960116,1202,대파,0,14.286,1202,700,1175
19960115,1209,마늘,0,0,1209,1132.1,0
19960115,1201,양파,0,0,1201,410,594
19960115,1202,대파,0,8.333,1202,600,1158
19960117,1001,배추,0,0,1001,0,1521
19960117,1101,무,0,0,1101,0,974
19960117,1207,건고추,0,0,1207,5185.71,6167
19960117,1209,마늘,0,0,12A9,0,2925
19960117,1209,마늘,0,0,1209,1125,0
19960117,1201,양파,0,0,1201,445,615
19960117,1202,대파,0,-7.692,1202,650,1175
19960118,1001,배추,0,0,1001,0,1533
19960118,1101,무,0,0,1101,0,987
19960118,1207,건고추,0,0.275,1207,5200,6167
19960118,1209,마늘,0,0,12A9,0,2929
19960118,1209,마늘,0,0,1209,1125,0
19960118,1201,양파,0,0,1201,445,618
19960118,1202,대파,0,0,1202,650,1167
19960119,1001,배추,0,0,1001,0,1538
19960119,1101,무,0,0,1101,0,987
19960119,1207,건고추,0,0.41,1207,5221.43,6192
19960119,1209,마늘,0,0,12A9,0,2929
19960119,1209,마늘,0,0,1209,1125,0
19960119,1201,양파,0,-5.952,1201,420,628
19960119,1202,대파,0,0,1202,650,1179
19960120,1001,배추,0,0,1001,0,1538
19960120,1101,무,0,0,1101,0,987
19960120,1207,건고추,0,0.273,1207,5235.71,6208
19960120,1209,마늘,0,0,12A9,0,2929
19960120,1209,마늘,0,0,1209,1125,0
19960120,1201,양파,0,-1.205,1201,415,628
19960122,1001,배추,0,0,1001,0,1521
19960122,1101,무,0,0,1101,0,989
19960122,1207,건고추,0,0.273,1207,5235.71,6208
19960122,1209,마늘,0,0,12A9,0,2929
19960122,1209,마늘,0,0,1209,1125,0
19960122,1201,양파,0,5.682,1201,440,632
19960122,1202,대파,0,-4.167,1202,600,1200
19960120,1202,대파,0,-4,1202,625,1179
19960121,1001,배추,0,0,1001,0,1538
19960121,1101,무,0,0,1101,0,987
19960121,1207,건고추,0,0.273,1207,5235.71,6208
19960121,1209,마늘,0,0,12A9,0,2929
19960121,1209,마늘,0,0,1209,1125,0
19960121,1201,양파,0,-1.205,1201,415,628
19960121,1202,대파,0,-4,1202,625,1179
19960123,1001,배추,0,0,1001,0,1513
19960123,1101,무,0,0,1101,0,992
19960123,1207,건고추,0,0.34,1207,5253.57,6233
19960123,1209,마늘,0,0,12A9,0,2913
19960123,1209,마늘,0,-0.635,1209,1117.9,0
19960123,1201,양파,0,-6.024,1201,415,627
19960123,1202,대파,0,-4.348,1202,575,1192
19960124,1001,배추,0,0,1001,0,1513
19960124,1101,무,0,0,1101,0,992
19960124,1207,건고추,0,0.608,1207,5285.71,6242
19960124,1209,마늘,0,0,12A9,0,2913
19960124,1209,마늘,0,0,1209,1117.9,0
19960124,1201,양파,0,0,1201,415,627
