"시도별",2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
"시도별",근채류:면적 (ha),생산량 (톤),무:면적 (ha),생산량 (톤),노지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을일반무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을총각무:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설무:면적 (ha),10a당 생산량 (kg),생산량 (톤),당근:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",44621,1914494,40238,1759357,33541,4494,1507302,18914,3304,624898,15537,3389,526527,3377,2913,98371,14627,6033,882404,-,-,-,-,-,-,6697,3764,252055,4383,3540,155137
"서울특별시",173,3657,173,3657,44,3127,1376,35,2437,853,35,2438,853,0,0,0,9,5808,523,-,-,-,-,-,-,129,1768,2281,0,0,0
"부산광역시",593,23498,431,20101,240,4782,11477,210,4653,9771,210,4653,9771,0,0,0,30,5686,1706,-,-,-,-,-,-,191,4515,8624,162,2097,3397
"대구광역시",319,15136,319,15136,253,4685,11853,119,3528,4198,119,3528,4198,0,0,0,134,5713,7655,-,-,-,-,-,-,66,4974,3283,0,0,0
"인천광역시",718,32362,711,32251,457,4115,18807,163,4428,7218,163,4428,7218,0,0,0,294,3942,11589,-,-,-,-,-,-,254,5293,13444,7,1581,111
"광주광역시",833,51566,831,51519,501,7176,35950,85,3900,3315,85,3900,3315,0,0,0,416,7845,32635,-,-,-,-,-,-,330,4718,15569,2,2367,47
"대전광역시",272,13205,271,13188,68,4754,3233,22,2845,626,22,2844,626,0,0,0,46,5667,2607,-,-,-,-,-,-,203,4904,9955,1,1700,17
"울산광역시",260,10642,194,8609,118,5750,6785,51,4690,2392,51,4690,2392,0,0,0,67,6557,4393,-,-,-,-,-,-,76,2400,1824,66,3080,2033
"경기도",7624,269730,7580,268739,5058,3730,188665,2578,3225,83141,2578,3225,83141,0,0,0,2480,4255,105524,-,-,-,-,-,-,2522,3175,80074,44,2252,991
"강원도",5790,183175,5176,163515,5056,3169,160202,4273,2969,126878,1941,3103,60229,2332,2858,66649,783,4256,33324,-,-,-,-,-,-,120,2761,3313,614,3202,19660
"충청북도",2865,108384,2841,107877,2584,3884,100365,2006,3739,75002,2004,3739,74930,2,3582,72,578,4388,25363,-,-,-,-,-,-,257,2923,7512,24,2114,507
"충청남도",4747,213973,4555,209570,3896,4448,173305,1824,3324,60630,1824,3324,60630,0,0,0,2072,5438,112675,-,-,-,-,-,-,659,5503,36265,192,2293,4403
"전라북도",6121,330409,6057,328803,5577,5617,313251,2177,3066,66751,1636,3184,52090,541,2710,14661,3400,7250,246500,-,-,-,-,-,-,480,3240,15552,64,2510,1606
"전라남도",4494,261298,4408,259262,3590,6358,228268,1437,4708,67654,1437,4708,67654,0,0,0,2153,7460,160614,-,-,-,-,-,-,818,3789,30994,86,2367,2036
"경상북도",3386,125308,3237,122529,3096,3815,118124,2133,3055,65169,1876,3070,57593,257,2948,7576,963,5499,52955,-,-,-,-,-,-,141,3124,4405,149,1865,2779
"경상남도",2904,116216,2473,106049,2022,4307,87089,1331,3090,41124,1086,2920,31711,245,3842,9413,691,6652,45965,-,-,-,-,-,-,451,4204,18960,431,2359,10167
"제주도",3522,155935,981,48552,981,4949,48552,470,2165,10176,470,2165,10176,0,0,0,511,7510,38376,-,-,-,-,-,-,0,0,0,2541,4226,107383
