"시도별",2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
"시도별",근채류:면적 (ha),생산량 (톤),무:면적 (ha),생산량 (톤),노지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄무:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지무:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을일반무:면적 (ha),10a당 생산량 (kg),생산량 (톤),가을총각무:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설무:면적 (ha),10a당 생산량 (kg),생산량 (톤),당근:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",27925,1271057,25835,1194327,21533,4725,1017436,14371,3886,558388,11775,4012,472411,2596,3312,85977,7162,6409,459048,6028,6984,420978,1134,3357,38070,4302,4112,176891,2090,3671,76730
"서울특별시",52,1685,52,1685,11,5464,601,1,3700,37,1,3660,37,0,0,0,10,5635,564,8,6205,496,2,3354,67,41,2644,1084,0,0,0
"부산광역시",291,11041,189,8269,99,4132,4091,86,3740,3216,86,3739,3216,0,0,0,13,6732,875,13,6732,875,0,0,0,90,4642,4178,102,2718,2772
"대구광역시",145,7198,145,7198,85,4827,4103,55,3815,2098,55,3815,2098,0,0,0,30,6684,2005,30,6684,2005,0,0,0,60,5158,3095,0,0,0
"인천광역시",284,13686,284,13686,243,4848,11781,79,3658,2890,79,3658,2890,0,0,0,164,5421,8891,156,5490,8565,8,4077,326,41,4646,1905,0,0,0
"광주광역시",354,19910,354,19910,161,7382,11885,46,3915,1801,46,3916,1801,0,0,0,115,8769,10084,115,8769,10084,0,0,0,193,4158,8025,0,0,0
"대전광역시",79,3112,79,3112,51,4592,2342,9,4511,406,9,4514,406,0,0,0,42,4609,1936,32,5280,1689,10,2465,246,28,2750,770,0,0,0
"울산광역시",94,5533,94,5533,83,6088,5053,24,3525,846,24,3523,846,0,0,0,59,7131,4207,59,7131,4207,0,0,0,11,4364,480,0,0,0
"경기도",4023,159801,4013,159545,2235,4271,95448,880,3064,26963,880,3064,26963,0,0,0,1355,5054,68485,808,6205,50140,547,3354,18345,1778,3605,64097,10,2558,256
"강원도",3851,134888,3700,130468,3646,3525,128535,3331,3375,112426,1056,3453,36464,2275,3339,75962,315,5114,16109,262,5571,14595,53,2856,1514,54,3580,1933,151,2927,4420
"충청북도",1499,66793,1477,66149,1321,4486,59265,1051,4283,45014,1051,4283,45014,0,0,0,270,5278,14251,222,5967,13246,48,2093,1005,156,4413,6884,22,2928,644
"충청남도",2495,120346,2386,117496,2034,4950,100684,845,3478,29389,845,3478,29389,0,0,0,1189,5996,71295,920,6719,61818,269,3523,9477,352,4776,16812,109,2615,2850
"전라북도",2748,176163,2728,175589,2256,6792,153221,758,4065,30813,619,4166,25788,139,3615,5025,1498,8171,122408,1453,8268,120129,45,5065,2279,472,4739,22368,20,2868,574
"전라남도",2617,139408,2570,138228,2027,5589,113288,934,4124,38518,934,4124,38518,0,0,0,1093,6841,74770,943,7423,70002,150,3179,4768,543,4593,24940,47,2511,1180
"경상북도",2236,83549,2110,80788,1850,3890,71958,1317,3302,43483,1185,3413,40444,132,2302,3039,533,5342,28475,531,5355,28433,2,2093,42,260,3396,8830,126,2191,2761
"경상남도",1346,65294,1043,54925,821,5296,43481,441,4059,17900,391,4079,15949,50,3902,1951,380,6732,25581,380,6732,25581,0,0,0,222,5155,11444,303,3422,10369
"제주도",5811,262650,4611,211746,4610,4592,211700,4514,4488,202588,4514,4488,202588,0,0,0,96,9492,9112,96,9492,9112,0,0,0,1,4600,46,1200,4242,50904
