"시도별",2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
"시도별",엽채류:면적 (ha),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시금치:면적 (ha),생산량 (톤),노지시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설시금치:면적 (ha),10a당 생산량 (kg),생산량 (톤),상추:면적 (ha),생산량 (톤),노지상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설상추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",72925,3744547,51801,3149255,45527,6301,2868690,29114,4301,1252175,18908,4588,867460,10206,3769,384715,16413,9849,1616515,6274,4472,280565,7441,120797,4169,1452,60540,3272,1842,60257,7685,203509,1767,2065,36493,5918,2822,167016,5998,4518,270986
"서울특별시",723,15271,208,7906,95,5258,4995,72,3694,2660,72,3695,2660,0,0,0,23,10152,2335,113,2576,2911,116,1976,25,1704,426,91,1703,1550,399,5389,10,2108,211,389,1331,5178,0,0,0
"부산광역시",1392,77401,921,65562,727,7293,53022,403,4446,17917,403,4446,17917,0,0,0,324,10835,35105,194,6464,12540,154,2403,152,1565,2379,2,1203,24,297,8426,268,2866,7681,29,2570,745,20,5050,1010
"대구광역시",1167,50036,568,38540,316,7376,23307,177,4799,8494,177,4799,8494,0,0,0,139,10657,14813,252,6045,15233,174,2501,114,1300,1482,60,1698,1019,410,8261,209,1707,3568,201,2335,4693,15,4891,734
"인천광역시",1154,54569,397,29325,273,7716,21064,107,4316,4618,107,4316,4618,0,0,0,166,9907,16446,124,6662,8261,173,3331,128,1759,2252,45,2397,1079,581,21815,48,2075,996,533,3906,20819,3,3282,98
"광주광역시",720,44543,542,38942,373,7885,29412,178,5090,9060,178,5090,9060,0,0,0,195,10437,20352,169,5639,9530,45,816,37,1587,587,8,2863,229,133,4785,44,3010,1324,89,3889,3461,0,0,0
"대전광역시",306,17106,198,14923,105,9049,9501,6,4700,282,6,4696,282,0,0,0,99,9312,9219,93,5830,5422,48,782,30,1535,461,18,1786,321,60,1401,7,1715,120,53,2417,1281,0,0,0
"울산광역시",407,18970,189,13692,152,7986,12138,61,4410,2690,61,4410,2690,0,0,0,91,10382,9448,37,4200,1554,103,1893,82,1860,1525,21,1750,368,115,3385,54,2880,1555,61,3000,1830,0,0,0
"경기도",11716,491845,6149,364732,3789,7066,267712,1331,3903,51949,1331,3903,51949,0,0,0,2458,8778,215763,2360,4111,97020,2571,46885,431,1355,5840,2140,1918,41045,2941,78423,238,1821,4334,2703,2741,74089,55,3282,1805
"강원도",12566,532366,11099,480889,10891,4276,465701,9608,3839,368899,2147,4081,87619,7461,3770,281280,1283,7545,96802,208,7302,15188,236,4122,175,1847,3232,61,1459,890,229,5211,95,2248,2136,134,2295,3075,1002,4206,42144
"충청북도",4809,291599,4186,269745,3988,6501,259245,2642,5265,139101,2561,5308,135938,81,3905,3163,1346,8926,120144,198,5303,10500,91,1339,27,1324,357,64,1534,982,180,4158,86,1923,1654,94,2664,2504,352,4647,16357
"충청남도",5590,399590,4310,356891,3629,9148,331980,810,4011,32489,810,4011,32489,0,0,0,2819,10624,299491,681,3658,24911,128,2337,66,1372,906,62,2308,1431,535,16478,26,1848,480,509,3143,15998,617,3871,23884
"전라북도",5504,365387,4770,347089,4377,7599,332595,2317,3848,89165,713,4272,30459,1604,3660,58706,2060,11817,243430,393,3688,14494,226,3247,157,1418,2226,69,1479,1021,375,10444,78,1114,869,297,3224,9575,133,3464,4607
"전라남도",13183,707508,9503,610659,8860,6536,579133,6320,5120,323584,6320,5120,323584,0,0,0,2540,10061,255549,643,4903,31526,1802,25376,1276,1325,16907,526,1610,8469,706,19237,216,2030,4385,490,3031,14852,1172,4457,52236
"경상북도",6414,325597,5302,300004,4928,5748,283279,3400,4080,138730,2816,4109,115709,584,3942,23021,1528,9460,144549,374,4472,16725,460,7460,368,1576,5800,92,1804,1660,326,6759,159,1955,3108,167,2186,3651,326,3489,11374
"경상남도",4158,195781,2710,169619,2279,6804,155064,1183,3713,43919,707,3589,25374,476,3896,18545,1096,10141,111145,431,3377,14555,1034,15423,1021,1494,15254,13,1300,169,366,8579,229,1778,4072,137,3290,4507,48,4499,2160
"제주도",3116,156978,749,40737,745,5442,40542,499,3731,18618,499,3731,18618,0,0,0,246,8912,21924,4,4875,195,80,906,80,1133,906,0,0,0,32,758,0,0,0,32,2370,758,2255,5081,114577
