"시도별",2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
"시도별",조미채소:면적 (ha),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),파:면적 (ha),생산량 (톤),노지파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설파:면적 (ha),10a당 생산량 (kg),생산량 (톤),대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설대파:면적 (ha),10a당 생산량 (kg),생산량 (톤),쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설쪽파:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),생강:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"계",149486,2305422,76724,381156,72104,267,192753,4620,4078,188403,21590,566828,19159,2618,501558,2431,2685,65270,13331,2842,378849,11693,2828,330636,1638,2943,48213,8259,2276,187979,7466,2289,170922,793,2151,17057,15314,6093,933095,2705,1104,29861,33153,1190,394482
"서울특별시",314,7352,25,215,21,233,49,4,4150,166,288,7130,160,2368,3789,128,2610,3341,286,2478,7087,158,2371,3746,128,2610,3341,2,2150,43,2,2130,43,0,0,0,0,0,0,0,0,0,1,700,7
"부산광역시",1202,35214,77,172,76,194,147,1,2480,25,1104,34593,1066,3104,33086,38,3966,1507,866,3292,28508,839,3253,27293,27,4500,1215,238,2557,6085,227,2552,5793,11,2650,292,5,6150,308,0,0,0,16,881,141
"대구광역시",1059,22686,222,1505,198,195,387,24,4658,1118,405,10704,357,2603,9294,48,2938,1410,360,2756,9921,318,2720,8650,42,3026,1271,45,1740,783,39,1650,644,6,2314,139,112,5608,6281,0,0,0,320,1311,4196
"인천광역시",1415,14951,819,2183,812,253,2051,7,1887,132,443,10966,407,2417,9838,36,3133,1128,382,2536,9687,349,2461,8589,33,3328,1098,61,2097,1279,58,2154,1249,3,1005,30,16,4290,686,3,889,27,134,813,1089
"광주광역시",704,20179,545,16525,190,270,514,355,4510,16011,95,2141,89,2212,1969,6,2867,172,22,2218,488,22,2220,488,0,0,0,73,2264,1653,67,2210,1481,6,2870,172,17,6010,1022,0,0,0,47,1045,491
"대전광역시",259,2800,178,797,161,243,391,17,2388,406,67,1910,50,2966,1483,17,2512,427,61,2907,1773,44,3059,1346,17,2510,427,6,2283,137,6,2282,137,0,0,0,0,0,0,2,1121,22,12,592,71
"울산광역시",327,3553,210,1003,193,216,417,17,3446,586,69,1748,69,2533,1748,0,0,0,30,2700,810,30,2700,810,0,0,0,39,2405,938,39,2404,938,0,0,0,12,4259,511,0,0,0,36,808,291
"경기도",9960,131076,5099,14444,4960,232,11496,139,2121,2948,4040,109953,2932,2701,79184,1108,2777,30769,3600,2770,99725,2580,2754,71053,1020,2811,28672,440,2325,10228,352,2310,8131,88,2383,2097,29,4738,1374,44,889,391,748,657,4914
"강원도",6365,45398,5124,22911,4795,249,11959,329,3329,10952,722,15489,686,2114,14502,36,2742,987,523,2182,11413,509,2168,11035,14,2699,378,199,2048,4076,177,1959,3467,22,2769,609,69,4607,3179,5,1000,50,445,847,3769
"충청북도",13029,59285,11511,33116,11486,284,32603,25,2052,513,775,19015,709,2431,17239,66,2691,1776,669,2425,16226,613,2402,14724,56,2682,1502,106,2631,2789,96,2620,2515,10,2741,274,38,6461,2455,24,1279,307,681,645,4392
"충청남도",16285,156699,8245,30393,7881,233,18341,364,3311,12052,3366,69068,2867,2005,57496,499,2319,11572,769,2523,19404,688,2181,15005,81,5431,4399,2597,1912,49664,2179,1950,42491,418,1716,7173,218,4881,10641,1692,1009,17072,2764,1068,29525
"전라북도",12040,104283,9072,27988,8945,275,24630,127,2644,3358,1324,34503,1142,2581,29475,182,2763,5028,928,2706,25108,842,2694,22683,86,2820,2425,396,2372,9395,300,2264,6792,96,2711,2603,497,5757,28612,526,1264,6649,621,1052,6531
"전라남도",38915,842256,12153,65535,11069,296,32798,1084,3020,32737,5250,158101,5157,3015,155458,93,2842,2643,3074,3267,100423,3041,3273,99532,33,2700,891,2176,2651,57678,2116,2643,55926,60,2920,1752,7435,6010,446844,114,1130,1288,13963,1221,170488
"경상북도",27180,323309,18663,57261,18371,278,51024,292,2136,6237,1373,32197,1280,2339,29941,93,2426,2256,920,2541,23373,857,2545,21811,63,2480,1562,453,1948,8824,423,1922,8130,30,2314,694,2924,6356,185849,269,1419,3817,3951,1118,44185
"경상남도",14731,397174,4754,106531,2937,202,5942,1817,5536,100589,1060,28466,989,2678,26482,71,2794,1984,585,2785,16292,552,2789,15395,33,2719,897,475,2563,12174,437,2537,11087,38,2860,1087,3094,6150,190281,22,992,218,5801,1236,71678
"제주도",5701,139207,27,577,9,47,4,18,3184,573,1209,30844,1199,2550,30574,10,2700,270,256,3364,8611,251,3377,8476,5,2700,135,953,2333,22233,948,2331,22098,5,2693,135,848,6492,55052,4,500,20,3613,1459,52714
